image,pattern,width,height,pixels,filter,filter_width,filter_height,version,repeat,time_ms,verified
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled,6,0.093823,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_constant,6,0.093332,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled_constant,6,0.093143,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,cpu_single,7,1.391457,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_global,7,0.094774,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled,7,0.093392,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_constant,7,0.094503,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled_constant,7,0.093522,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,cpu_single,1,3.336596,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_global,1,0.108637,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled,1,0.097548,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_constant,1,0.096898,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled_constant,1,0.095785,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,cpu_single,2,3.415806,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_global,2,0.100204,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled,2,0.096367,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_constant,2,0.096346,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled_constant,2,0.096227,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,cpu_single,3,3.349224,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_global,3,0.097819,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled,3,0.096077,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_constant,3,0.096506,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled_constant,3,0.095976,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,cpu_single,4,4.548460,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_global,4,0.103167,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled,4,0.096737,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_constant,4,0.096337,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled_constant,4,0.096036,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,cpu_single,5,3.326159,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_global,5,0.098070,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled,5,0.096106,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_constant,5,0.096147,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled_constant,5,0.095455,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,cpu_single,6,3.323827,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_global,6,0.097690,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled,6,0.096256,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_constant,6,0.096107,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled_constant,6,0.095405,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,cpu_single,7,3.415297,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_global,7,0.097749,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled,7,0.096597,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_constant,7,0.096566,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_tiled_constant,7,0.095676,1
gradient_512,0,512,512,262144,edge_5x5,5,5,cpu_single,1,3.459952,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_global,1,0.119662,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled,1,0.099321,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_constant,1,0.099120,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled_constant,1,0.099141,1
gradient_512,0,512,512,262144,edge_5x5,5,5,cpu_single,2,4.346763,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_global,2,0.105831,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled,2,0.098159,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_constant,2,0.098049,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled_constant,2,0.096427,1
gradient_512,0,512,512,262144,edge_5x5,5,5,cpu_single,3,3.324286,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_global,3,0.097789,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled,3,0.096567,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_constant,3,0.096626,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled_constant,3,0.101244,1
gradient_512,0,512,512,262144,edge_5x5,5,5,cpu_single,4,3.357469,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_global,4,0.103898,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled,4,0.096767,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_constant,4,0.096096,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled_constant,4,0.096016,1
gradient_512,0,512,512,262144,edge_5x5,5,5,cpu_single,5,3.358700,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_global,5,0.098790,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled,5,0.099853,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_constant,5,0.096236,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled_constant,5,0.095917,1
gradient_512,0,512,512,262144,edge_5x5,5,5,cpu_single,6,3.589571,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_global,6,0.105080,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled,6,0.097076,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_constant,6,0.096406,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled_constant,6,0.095886,1
gradient_512,0,512,512,262144,edge_5x5,5,5,cpu_single,7,3.531372,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_global,7,0.103357,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled,7,0.096697,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_constant,7,0.100252,1
gradient_512,0,512,512,262144,edge_5x5,5,5,gpu_tiled_constant,7,0.096396,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,cpu_single,1,5.866143,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_global,1,0.362992,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled,1,0.338905,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_constant,1,0.337994,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled_constant,1,0.336853,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,cpu_single,2,5.560008,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_global,2,0.344873,1
checker_1024,1,1024,1024,1048576,emboss_3x3,3,3,gpu_tiled,2,0.344503,1
